bin_center,bin_start,bin_end,accuracy,confidence,gap,count
0.05,0.0,0.1,0.2857142857142857,0.07142857142857142,-0.21428571428571427,7
0.15000000000000002,0.1,0.2,0.2857142857142857,0.15178571428571427,-0.13392857142857142,56
0.25,0.2,0.30000000000000004,0.0,0.25833333333333336,0.25833333333333336,6
0.35000000000000003,0.30000000000000004,0.4,0.16666666666666666,0.3833333333333333,0.21666666666666665,6
0.45,0.4,0.5,0.5,0.48,-0.020000000000000018,10
0.55,0.5,0.6000000000000001,0.2857142857142857,0.5785714285714285,0.2928571428571428,7
0.6500000000000001,0.6000000000000001,0.7000000000000001,0.375,0.6625,0.2875,16
0.75,0.7000000000000001,0.8,0.2,0.77,0.5700000000000001,15
0.8500000000000001,0.8,0.9,0.05420375865479723,0.8501384767556872,0.79593471810089,5055
0.95,0.9,1.0,0.1694915254237288,0.9736666666666667,0.8041751412429379,177
