bin_center,count,density
0.025,13,0.0024422318241593085
0.07500000000000001,16,0.0030058237835806877
0.125,52,0.009768927296637234
0.17500000000000002,0,0.0
0.225,2,0.00037572797294758596
0.275,3,0.0005635919594213789
0.32500000000000007,3,0.0005635919594213789
0.375,0,0.0
0.42500000000000004,0,0.0
0.475,0,0.0
0.525,18,0.0033815517565282736
0.5750000000000001,9,0.0016907758782641368
0.625,0,0.0
0.675,8,0.0015029118917903438
0.7250000000000001,0,0.0
0.775,40,0.007514559458951719
0.8250000000000001,3277,0.6156302836746196
0.875,0,0.0
0.925,1528,0.28705617133195566
0.9750000000000001,354,0.06650385121172271
