bin_center,count,density
0.025,5,0.0009720062208398134
0.07500000000000001,0,0.0
0.125,0,0.0
0.17500000000000002,0,0.0
0.225,1,0.00019440124416796267
0.275,1,0.00019440124416796267
0.32500000000000007,0,0.0
0.375,0,0.0
0.42500000000000004,0,0.0
0.475,0,0.0
0.525,2,0.00038880248833592535
0.5750000000000001,2,0.00038880248833592535
0.625,0,0.0
0.675,0,0.0
0.7250000000000001,0,0.0
0.775,6,0.0011664074650077762
0.8250000000000001,143,0.027799377916018664
0.875,0,0.0
0.925,2541,0.4939735614307932
0.9750000000000001,2443,0.4749222395023328
