bin_center,count,density
0.025,1,0.00018670649738610905
0.07500000000000001,4,0.0007468259895444362
0.125,57,0.010642270351008214
0.17500000000000002,0,0.0
0.225,2,0.0003734129947722181
0.275,6,0.0011202389843166542
0.32500000000000007,2,0.0003734129947722181
0.375,0,0.0
0.42500000000000004,4,0.0007468259895444362
0.475,4,0.0007468259895444362
0.525,6,0.0011202389843166542
0.5750000000000001,7,0.0013069454817027633
0.625,0,0.0
0.675,16,0.002987303958177745
0.7250000000000001,0,0.0
0.775,9,0.0016803584764749813
0.8250000000000001,5047,0.9423076923076923
0.875,0,0.0
0.925,105,0.019604182225541448
0.9750000000000001,86,0.016056758775205376
