bin_center,count,density
0.025,189,0.05483028720626632
0.07500000000000001,121,0.03510298810559907
0.125,156,0.04525674499564839
0.17500000000000002,0,0.0
0.225,101,0.029300841311285176
0.275,14,0.0040615027560197275
0.32500000000000007,0,0.0
0.375,0,0.0
0.42500000000000004,77,0.0223382651581085
0.475,0,0.0
0.525,197,0.057151145923991876
0.5750000000000001,81,0.02349869451697128
0.625,0,0.0
0.675,85,0.02465912387583406
0.7250000000000001,0,0.0
0.775,16,0.004641717435451117
0.8250000000000001,1450,0.42065564258775745
0.875,0,0.0
0.925,353,0.10240789091964027
0.9750000000000001,607,0.17609515520742675
