bin_center,bin_start,bin_end,accuracy,confidence,gap,count
0.05,0.0,0.1,0.04,0.054400000000000004,0.014400000000000003,25
0.15000000000000002,0.1,0.2,0.10204081632653061,0.15204081632653063,0.05000000000000002,49
0.25,0.2,0.30000000000000004,1.0,0.25,-0.75,3
0.35000000000000003,0.30000000000000004,0.4,0.0,0.3499999999999999,0.3499999999999999,3
0.45,0.4,0.5,0.1111111111111111,0.5,0.3888888888888889,18
0.55,0.5,0.6000000000000001,0.0,0.5555555555555556,0.5555555555555556,9
0.6500000000000001,0.6000000000000001,0.7000000000000001,0.875,0.65,-0.22499999999999998,8
0.75,0.7000000000000001,0.8,0.5,0.7677419354838709,0.26774193548387093,62
0.8500000000000001,0.8,0.9,0.5858858858858859,0.8511261261261258,0.26524024024023996,3330
0.95,0.9,1.0,0.6961815163254013,0.9594742667404536,0.2632927504150523,1807
