model,accuracy,avg_confidence,overconfidence_gap,ece,mce,brier_score,confidence_entropy,n_samples,n_successful
deepseek-ai/deepseek-llm-7b-chat,0.5970791986519378,0.8643726428972635,0.26729344424532564,0.2706635996469359,0.5,0.31277478038584833,0.5713863465374283,5341,5341
google/gemma-7b-it,0.5740429505135387,0.8514117647058823,0.2773688141923436,0.2775555555555553,0.8,0.3212944724556489,0.1368616859873524,5355,5355
mistralai/Mistral-7B-Instruct-v0.3,0.6830999066293184,0.8809000933706815,0.19780018674136313,0.19780018674136293,0.775,0.25001770308123245,0.6678538423813668,5355,5355
Qwen/Qwen3.5-9B,0.7045101088646968,0.9673716951788491,0.26286158631415235,0.2630559875583203,0.6142857142857143,0.27081858475894244,0.8256617698198382,5144,5144
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.2181607194662025,0.7130241949521322,0.4948634754859297,0.5420639396576733,0.6980946123521681,0.5002371126660865,1.8989914564612074,3447,3447
Qwen/Qwen2-1.5B-Instruct,0.5934667673716012,0.8491257552870087,0.25565898791540753,0.2556589879154077,1.0,0.3062900113293051,0.032082536081683675,5296,5296
HuggingFaceH4/zephyr-7b-beta,0.6126244598910389,0.872708998684952,0.26008453879391313,0.26216982904377206,0.75,0.2988202705241405,1.0024842881275269,5323,5323
meta-llama/Llama-3.2-1B,0.06329350261389097,0.8427257281553396,0.7794322255414486,0.782867625093353,0.8041751412429379,0.6786635177371173,0.3233971054010784,5356,5356
