bin_center,count,density
0.025,1,0.00018882175226586103
0.07500000000000001,0,0.0
0.125,3,0.0005664652567975831
0.17500000000000002,0,0.0
0.225,0,0.0
0.275,1,0.00018882175226586103
0.32500000000000007,0,0.0
0.375,0,0.0
0.42500000000000004,1,0.00018882175226586103
0.475,0,0.0
0.525,5,0.0009441087613293052
0.5750000000000001,0,0.0
0.625,0,0.0
0.675,1,0.00018882175226586103
0.7250000000000001,0,0.0
0.775,0,0.0
0.8250000000000001,5275,0.9960347432024169
0.875,0,0.0
0.925,0,0.0
0.9750000000000001,9,0.0016993957703927492
