bin_center,bin_start,bin_end,accuracy,confidence,gap,count
0.05,0.0,0.1,0.3305084745762712,0.07055084745762713,-0.25995762711864406,236
0.15000000000000002,0.1,0.2,0.17105263157894737,0.1832236842105263,0.012171052631578916,152
0.25,0.2,0.30000000000000004,0.07142857142857142,0.26071428571428573,0.1892857142857143,14
0.35000000000000003,0.30000000000000004,0.4,0.03896103896103896,0.39999999999999986,0.3610389610389609,77
0.45,0.4,0.5,0.08121827411167512,0.5,0.41878172588832485,197
0.55,0.5,0.6000000000000001,0.07407407407407407,0.5987654320987653,0.5246913580246912,81
0.6500000000000001,0.6000000000000001,0.7000000000000001,0.09411764705882353,0.6947058823529414,0.6005882352941179,85
0.75,0.7000000000000001,0.8,0.10833333333333334,0.7933333333333334,0.685,120
0.8500000000000001,0.8,0.9,0.15768725361366623,0.8557818659658343,0.6980946123521681,1522
0.95,0.9,1.0,0.4094387755102041,0.9886408163265306,0.5792020408163265,784
